,City,Country,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,APICall
0,ushuaia,AR,-54.81,42.8,81,75,27.51,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=ushuaia,AR"
1,port alfred,ZA,-33.59,68.96,85,56,20.27,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=port%20alfred,ZA"
2,new norfolk,AU,-42.78,68.0,68,75,19.46,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=new%20norfolk,AU"
3,rikitea,PF,-23.12,80.48,100,68,13.89,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=rikitea,PF"
4,albany,AU,-35.02,50.24,88,0,6.4,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=albany,AU"
5,hermanus,ZA,-34.42,58.43,77,0,5.73,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=hermanus,ZA"
6,kruisfontein,ZA,-34.0,67.7,86,64,18.7,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=kruisfontein,ZA"
7,port elizabeth,ZA,-33.92,68.0,77,75,23.04,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=port%20elizabeth,ZA"
8,punta arenas,CL,-53.16,53.6,66,40,26.4,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=punta%20arenas,CL"
9,busselton,AU,-33.64,56.9,100,0,6.17,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=busselton,AU"
10,east london,ZA,-33.02,71.21,100,92,26.31,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=east%20london,ZA"
11,vaini,TO,-21.2,80.6,74,75,3.36,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=vaini,TO"
12,hobart,AU,-42.88,68.0,68,75,19.46,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=hobart,AU"
13,bredasdorp,ZA,-34.53,68.0,68,0,11.41,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=bredasdorp,ZA"
15,bluff,NZ,-46.6,57.35,100,68,5.95,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=bluff,NZ"
17,cape town,ZA,-33.93,66.2,63,0,6.93,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=cape%20town,ZA"
18,kaitangata,NZ,-46.28,50.51,76,48,4.61,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=kaitangata,NZ"
19,avarua,CK,-21.21,82.4,78,75,1.12,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=avarua,CK"
20,mar del plata,AR,-46.43,63.65,46,0,1.7,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=mar%20del%20plata,AR"
21,cidreira,BR,-30.17,78.95,65,32,13.44,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=cidreira,BR"
22,chuy,UY,-33.69,80.03,61,12,11.21,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=chuy,UY"
23,souillac,MU,-20.52,78.8,94,90,12.75,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=souillac,MU"
24,mount gambier,AU,-37.83,57.8,85,68,12.33,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=mount%20gambier,AU"
25,tuatapere,NZ,-46.13,56.81,100,88,4.38,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=tuatapere,NZ"
26,castro,CL,-42.48,54.83,81,68,6.06,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=castro,CL"
27,dunedin,NZ,-45.87,50.51,84,24,4.16,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=dunedin,NZ"
28,esperance,AU,-33.86,59.15,69,88,6.96,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=esperance,AU"
29,arraial do cabo,BR,-22.97,82.4,88,40,4.7,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=arraial%20do%20cabo,BR"
30,mahebourg,MU,-20.41,78.8,94,90,12.75,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=mahebourg,MU"
32,rocha,UY,-34.48,80.48,56,64,11.32,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=rocha,UY"
33,jamestown,SH,-15.94,74.81,100,88,13.56,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=jamestown,SH"
